city,state,lat,long
Alexander City,Alabama,32.944012,-85.953853
Anniston AP,Alabama,33.659826,-85.831632
Auburn,Alabama,32.609857,-85.480782
Birmingham AP,Alabama,33.520661,-86.80249
Decatur,Alabama,34.605925,-86.983342
Dorthan AP,Alabama,31.223231,-85.390489
Florence AP,Alabama,34.829918,-87.627855
Gadsden,Alabama,34.014264,-86.006639
Huntsville AP,Alabama,34.730369,-86.586104
Mobile AP,Alabama,31.692771,-86.688473
Mobile CO,Alabama,30.608223,-88.246118
Montgomery AP,Alabama,32.366805,-86.299969
"Ozark, Fort Rucker",Alabama,31.346,-85.654333
Selma-Craig AFB,Alabama,32.318231,-86.902298
Talladega,Alabama,33.435942,-86.105805
Tuscaloosa AP,Alabama,33.209841,-87.569173
"Adak, NAS",Alaska,64.200841,-149.493673
Anchorage IAP,Alaska,61.218056,-149.900278
"Anchorage, Elemendorf AFB",Alaska,61.253635,-149.811253
"Anchorage, Fort Richardson",Alaska,61.254444,-149.688333
Annette,Alaska,55.061667,-131.541667
Barrow,Alaska,71.290556,-156.788611
Bethel,Alaska,60.792222,-161.755833
Bettles,Alaska,66.918889,-151.516111
"Big Delta, Ft. Greely",Alaska,63.953836,-145.741781
Cold Bay,Alaska,55.204498,-162.718387
Cordova,Alaska,60.542409,-145.752541
Deadhorse,Alaska,70.2002,-148.459719
Dillingham,Alaska,59.039722,-158.4575
Fairbanks IAP,Alaska,64.837778,-147.716389
"Fairbanks, Eielson AFB",Alaska,64.643095,-147.063823
Galena,Alaska,64.733333,-156.9275
Gulkana,Alaska,62.208634,-145.451482
Homer,Alaska,59.6425,-151.548333
Juneau IAP,Alaska,58.301944,-134.419722
Kenai,Alaska,60.554444,-151.258333
Ketchikan IAP,Alaska,55.342222,-131.646111
King Salmon,Alaska,58.688325,-156.661351
Kodiak,Alaska,57.79,-152.407222
Kotzebue,Alaska,66.898333,-162.596667
McGrath,Alaska,62.953204,-155.595992
Middleton Island,Alaska,59.428316,-146.329989
Nenana,Alaska,64.563889,-149.093056
Nome AP,Alaska,64.200841,-149.493673
Northway,Alaska,62.961667,-141.937222
Port Heiden,Alaska,56.949167,-158.626944
Saint Paul Island,Alaska,57.122498,-170.279946
Sitka,Alaska,57.053056,-135.33
Talkeetna,Alaska,62.320905,-150.106622
Valdez,Alaska,61.130833,-146.348333
Yakutat,Alaska,59.546944,-139.727222
Douglas AP,Arizona,34.048928,-111.093731
Flagstaff AP,Arizona,34.048928,-111.093731
Fort Huachuca AP,Arizona,31.555216,-110.349922
Kingman AP,Arizona,34.048928,-111.093731
Nogalas,Arizona,31.340378,-110.934253
Page,Arizona,36.914722,-111.455833
Phoenix AP,Arizona,33.448377,-112.074037
"Phoenix, Luke AFB",Arizona,33.544783,-112.358575
Prescott AP,Arizona,34.048928,-111.093731
"Safford, Agri Center",Arizona,34.048928,-111.093731
Tuscon AP,Arizona,32.221743,-110.926479
Winslow AP,Arizona,34.048928,-111.093731
Yuma AP,Arizona,34.048928,-111.093731
Blytheville AFB,Arkansas,35.964443,-89.943886
Camden,Arkansas,33.584558,-92.834329
El Dorado AP,Arkansas,35.20105,-91.831833
Fayetteville AP,Arkansas,36.06841,-94.168547
Fort Smith AP,Arkansas,35.385924,-94.398547
Hot Springs,Arkansas,34.5037,-93.05518
Jonesboro,Arkansas,35.842297,-90.704279
Little Rock AP,Arkansas,34.746481,-92.289595
Pine Bluff AP,Arkansas,34.228431,-92.003195
Texarkana AP,Arkansas,33.441792,-94.037688
"Alameda, NAS",California,37.729963,-122.238285
Bakersfield AP,California,35.373292,-119.018712
Barstow,California,34.895796,-117.017283
Blue Canyon,California,39.257123,-120.711046
Blythe AP,California,36.778261,-119.417932
Burbank AP,California,34.180839,-118.308966
Chico,California,39.728494,-121.837478
Concord,California,37.977978,-122.031073
Covina,California,34.090009,-117.89034
Crescent City AP,California,41.769153,-124.202567
Downey,California,33.940109,-118.133159
El Cajon,California,32.794773,-116.962527
El Centro AP,California,36.778261,-119.417932
Escondido,California,33.119207,-117.086421
Eureaka/Arcata AP,California,36.778261,-119.417932
Fairfield-Travis AFB,California,38.272119,-121.939858
Fresno AP,California,36.746842,-119.772587
Hamilton AFB,California,34.931404,-117.943543
Laguna Beach,California,33.542248,-117.78311
"Lemoore, Reeves NAS",California,36.778261,-119.417932
Livermore,California,37.681875,-121.768009
"Lompoc, Vandenburg AFB",California,34.708875,-120.567711
Long Beach AP,California,33.77005,-118.193739
Los Angeles AP,California,34.052234,-118.243685
Los Angeles CO,California,34.052234,-118.243685
"Marysville, Beale AFB",California,39.357124,-121.308409
Merced-Castle AFB,California,36.778261,-119.417932
Modesto,California,37.639097,-120.996878
Monterey,California,36.600238,-121.894676
Mount Shasta,California,41.309875,-122.310567
"Mountain View, Moffet NAS",California,37.427181,-122.061905
Napa,California,38.297538,-122.286865
Needles AP,California,36.778261,-119.417932
Oakland AP,California,37.804364,-122.271114
Oceanside,California,33.19587,-117.379483
Ontario IAP,California,36.778261,-119.417932
Oxnard,California,34.197505,-119.177052
Palmdale AP,California,34.579434,-118.116461
Palm Springs,California,33.830296,-116.545292
Pasadena,California,34.147785,-118.144516
Paso Robles,California,35.636876,-120.654502
Petaluma,California,38.232417,-122.636652
Pomona CO,California,34.055103,-117.749991
Red Bluff,California,40.178489,-122.23583
Redding AP,California,36.778261,-119.417932
Redlands,California,34.055569,-117.182538
Richmond,California,37.935758,-122.347749
Riverside-M arch AFB,California,33.890884,-117.261733
Sacramento AP,California,38.581572,-121.4944
"Sacramento, McClellan AFB",California,38.673338,-121.390048
"Sacramento, Metro",California,38.695085,-121.590065
Salinas AP,California,36.677737,-121.655501
"San Bernadino, Norton AFB",California,34.585583,-117.375931
San Diego AP,California,32.715738,-117.161084
"San Diego, Miramar NAS",California,32.882777,-117.121253
San Fernando,California,34.281946,-118.438972
San Francisco AP,California,37.77493,-122.419416
San Francisco CO,California,37.774907,-122.419388
San Jose AP,California,37.338208,-121.886329
San Luis Obispo,California,35.282752,-120.659616
Santa Ana AP,California,33.745573,-117.867834
Santa Barbara AP,California,34.420831,-119.69819
Santa Cruz,California,36.974117,-122.030796
Santa Maria AP,California,34.953034,-120.435719
Santa Monica CO,California,34.019454,-118.491191
Santa Paula,California,34.354166,-119.059271
Santa Rosa,California,38.440429,-122.714055
Stockton AP,California,36.778261,-119.417932
Ukiah,California,39.150171,-123.207783
"Victorville, George AFB",California,34.589059,-117.371395
Visalia,California,36.330228,-119.292058
Yreka,California,41.735419,-122.634471
Yuba City,California,39.140448,-121.616911
Alamosa AP,Colorado,39.550051,-105.782067
Boulder,Colorado,40.014986,-105.270546
Colorado Springs AP,Colorado,38.833882,-104.821363
Craig,Colorado,40.515249,-107.546454
Denver AP,Colorado,39.739236,-104.990251
Durango,Colorado,37.27528,-107.880067
Eagle,Colorado,39.655263,-106.828651
Fort Collins,Colorado,40.58526,-105.084423
Grand Junction AP,Colorado,39.550051,-105.782067
Greeley,Colorado,40.423314,-104.709132
LaJunta AP,Colorado,39.550051,-105.782067
Leadville,Colorado,39.250823,-106.292524
Limon,Colorado,39.263876,-103.692174
Pueblo AP,Colorado,38.254447,-104.609141
Sterling,Colorado,40.625542,-103.207709
Trinidad AP,Colorado,37.169463,-104.500541
Bridgeport AP,Connecticut,41.603221,-73.087749
"Hartford, Brainard Field",Connecticut,41.736868,-72.659787
New Haven AP,Connecticut,41.461564,-72.369285
New London,Connecticut,41.355654,-72.099521
Norwalk,Connecticut,41.117744,-73.408158
Norwich,Connecticut,41.524265,-72.07591
Waterbury,Connecticut,41.558153,-73.051496
"Windsor Locks, Bradley Field",Connecticut,41.938874,-72.686031
Dover AFB,Delaware,39.117222,-75.483991
Wilmington AP,Delaware,39.739072,-75.539788
Andrews AFB,District of Columbia,38.907192,-77.036871
Washington National AP,District of Columbia,38.907192,-77.036871
Apalachicola,Florida,29.725768,-84.983244
Belle Glade,Florida,26.68451,-80.667558
Cape Kennedy AP,Florida,28.392218,-80.607713
Daytona Beach AP,Florida,29.210815,-81.022833
Fort Lauderdale,Florida,26.122439,-80.137317
Fort Meyers AP,Florida,26.640628,-81.872308
Fort Pierce,Florida,27.446706,-80.325606
Gainsvilles AP,Florida,29.651634,-82.324826
Homestead AFB,Florida,27.664827,-81.515754
Jacksonville AP,Florida,30.332184,-81.655651
Jacksonville/Cecil Field NAS,Florida,27.664827,-81.515754
"Jacksonville, Mayport Naval",Florida,30.388146,-81.40827
Key West AP,Florida,24.555059,-81.779987
Lakeland CO,Florida,28.042915,-81.91359
Melbourne,Florida,28.083627,-80.608109
Miami AP,Florida,25.76168,-80.19179
Miami Beach CO,Florida,27.326872,-81.379008
"Miamia, New Tamiami AP",Florida,27.664827,-81.515754
"Milton, Whiting Field NAS",Florida,30.72414,-87.02252
Ocala,Florida,29.187199,-82.140092
Orlando AP,Florida,28.538336,-81.379236
"Panama City, Tyndall AFB",Florida,30.148478,-85.639225
Pensacola CO,Florida,30.493427,-87.261898
St. Augustine,Florida,29.901244,-81.312434
St. Petersburg,Florida,27.751828,-82.626734
Sanford,Florida,28.802861,-81.269453
Sarasota/Bradenton,Florida,27.37086,-82.546943
Tallahassee AP,Florida,30.438256,-84.280733
Tampa AP,Florida,27.950575,-82.457178
"Valparaiso, Eglin AFB",Florida,30.484406,-86.507037
Vero Beach,Florida,27.638643,-80.397274
West Palm Beach AP,Florida,26.715342,-80.053375
"Albany, Turner AFB",Georgia,32.165622,-82.900075
Americus,Georgia,32.072386,-84.232688
Athens,Georgia,33.951935,-83.357567
Atlanta AP,Georgia,33.748995,-84.387982
Augusta AP,Georgia,33.473498,-82.010515
Brunswick,Georgia,31.149953,-81.491489
"Columbus, Fort Benning",Georgia,32.352369,-84.968819
"Columbus, Lawson AFB",Georgia,32.165622,-82.900075
"Columbus, Metro AP",Georgia,32.514362,-84.941055
Dalton,Georgia,34.769802,-84.970223
Dublin,Georgia,32.540445,-82.903754
Gainesville,Georgia,34.297879,-83.824066
Griffin,Georgia,33.246781,-84.26409
La Grange,Georgia,33.036222,-85.032244
Macon AP,Georgia,32.165622,-82.900075
"Marietta, Dobbins AFB",Georgia,32.165622,-82.900075
Moultrie,Georgia,31.179941,-83.788839
Rome AP,Georgia,34.257038,-85.164673
"Savannah, Travis AP",Georgia,32.165622,-82.900075
"Valdosta, Moody AFB",Georgia,30.968611,-83.193054
"Valdosta, Regional AP",Georgia,30.785034,-83.27651
Waycross,Georgia,31.213551,-82.354018
"Ewa, Barbers Point NAS",Hawaii,19.896766,-155.582782
Hilo AP,Hawaii,19.729722,-155.09
Honolulu AP,Hawaii,21.306944,-157.858333
Kahului,Hawaii,20.889335,-156.472947
Kaneohe Bay MCAS,Hawaii,21.443305,-157.748952
Lihue,Hawaii,21.981111,-159.371111
Molokai,Hawaii,21.144394,-157.02263
Wahaiwa,Hawaii,21.50105,-158.020923
Boise AP,Idaho,43.61871,-116.214607
Burley,Idaho,42.535743,-113.792795
Coeur D'Alene AP,Idaho,47.677683,-116.780466
Idaho Falls AP,Idaho,43.491651,-112.033965
Kamiah,Idaho,46.227118,-116.029307
Lewiston AP,Idaho,44.068202,-114.742041
Moscow,Idaho,46.732387,-117.000165
Mountain Home AFB,Idaho,43.06646,-115.855061
Mullan,Idaho,47.470208,-115.801825
Pocatello AP,Idaho,42.871303,-112.445534
Twin Falls AP,Idaho,42.562967,-114.460871
Aurora,Illinois,41.760585,-88.320072
"Belleville, Scott AFB",Illinois,38.532064,-89.838622
Bloomington,Illinois,40.484203,-88.993687
Carbondale,Illinois,37.727273,-89.21675
Champaign/Urbana,Illinois,40.110588,-88.20727
"Chicago, Meigs Field",Illinois,40.633125,-89.398528
"Chicago, Midway AP",Illinois,41.787627,-87.741796
"Chicago, O'Hare AP",Illinois,41.977228,-87.836721
Chicago CO,Illinois,41.878114,-87.629798
Danville,Illinois,40.124481,-87.630021
Decatur,Illinois,39.840315,-88.9548
Dixon,Illinois,41.838921,-89.479548
Elgin,Illinois,42.035408,-88.282567
Freeport,Illinois,42.296686,-89.621227
Galesurg,Illinois,40.947816,-90.371239
"Glenview, NAS",Illinois,40.633125,-89.398528
Greenville,Illinois,38.892269,-89.413136
Joliet,Illinois,41.525031,-88.081725
Kankakee,Illinois,41.120033,-87.861153
LaSalle/Peru,Illinois,41.327535,-89.128973
Macomb,Illinois,40.459208,-90.671797
Marseilles,Illinois,41.330867,-88.708129
"Moline, Davenport AP",Illinois,40.633125,-89.398528
Mt. Vernon,Illinois,38.317271,-88.90312
Preoria AP,Illinois,-25.783378,28.313699
Quincy AP,Illinois,40.633125,-89.398528
"Rantoul, Chanute AFB",Illinois,40.288906,-88.143849
Rockford,Illinois,42.271131,-89.093995
Springfield AP,Illinois,39.781721,-89.650148
Waukegan,Illinois,42.363633,-87.844794
West Chicago,Illinois,41.884751,-88.203961
Anderson,Indiana,40.10532,-85.680254
Bedford,Indiana,38.861162,-86.487215
Bloomington,Indiana,39.165325,-86.526386
"Columbus, Bakalar AFB",Indiana,40.267194,-86.134902
Crawfordsville,Indiana,40.041154,-86.874452
Evansville AP,Indiana,40.267194,-86.134902
Fort Wayne AP,Indiana,40.892221,-84.90712
Goshen AP,Indiana,40.267194,-86.134902
Hobart,Indiana,41.532259,-87.255035
Huntington,Indiana,40.883101,-85.497476
Indianapolis AP (S),Indiana,40.267194,-86.134902
Jeffersonville,Indiana,38.27757,-85.737185
Kokoma,Indiana,40.486427,-86.133603
Lafayette,Indiana,40.416702,-86.875287
LaPort,Indiana,41.611143,-86.722719
Marion,Indiana,40.558374,-85.659144
Muncie,Indiana,40.193377,-85.38636
"Peru, Bunker Hill AFB",Indiana,40.691847,-86.110909
"Peru, Grissom AFB",Indiana,40.669345,-86.134053
Richmond AP,Indiana,40.267194,-86.134902
Shelbyville,Indiana,39.521437,-85.776924
South Bend AP,Indiana,41.675017,-86.25936
Terre Haute AP,Indiana,39.466703,-87.413909
Valparaiso,Indiana,41.473095,-87.061141
Vincennes,Indiana,38.677269,-87.528633
Ames,Iowa,42.030781,-93.631913
Burlington AP,Iowa,41.878003,-93.097702
Cedar Rapids AP,Iowa,41.97788,-91.665623
Clinton,Iowa,41.844474,-90.188738
Council Bluffs,Iowa,41.261944,-95.860833
Des Moines AP,Iowa,41.600545,-93.609106
Debuque,Iowa,42.500558,-90.664572
Fort Dodge,Iowa,42.497469,-94.168016
Iowa City,Iowa,41.661128,-91.530168
Keokuk,Iowa,40.404473,-91.396397
Lamoni,Iowa,40.622777,-93.934116
Marshalltown,Iowa,42.049467,-92.908037
Mason City AP,Iowa,41.878003,-93.097702
Newton,Iowa,41.703318,-93.057353
Ottumwa AP,Iowa,41.878003,-93.097702
Sioux City AP,Iowa,41.878003,-93.097702
Spencer,Iowa,43.145075,-95.144318
Waterloo,Iowa,42.492786,-92.342577
Atchison,Kansas,39.563052,-95.121636
Chante AP,Kansas,39.011902,-98.484246
Concordia,Kansas,39.570835,-97.66254
Dodge City AP,Kansas,37.752798,-100.017079
El Dorado,Kansas,37.81724,-96.862252
Emporia,Kansas,38.403903,-96.181663
Garden City AP,Kansas,37.97169,-100.872662
Goodland AP,Kansas,39.011902,-98.484246
Great Bend,Kansas,38.364457,-98.764807
Hutchinson AP,Kansas,39.011902,-98.484246
Liberal,Kansas,37.043081,-100.920999
"Manhattan, Fort Riley",Kansas,39.158178,-96.626074
Parsons,Kansas,37.340338,-95.261084
Russel AP,Kansas,39.011902,-98.484246
Salina,Kansas,38.840281,-97.611424
Topeka AP,Kansas,39.011902,-98.484246
Wichita AP,Kansas,39.011902,-98.484246
"Wichita, McConnell AFB",Kansas,37.709677,-97.308457
Ashland,Kentucky,38.478414,-82.637939
Bowling Green AP,Kentucky,36.990853,-86.451921
Corbin AP,Kentucky,37.839333,-84.270018
Covinton AP,Kentucky,37.839333,-84.270018
"Fort Knox, Godman AAF",Kentucky,37.902222,-85.972221
"Hopkinsville, Campbell AFB",Kentucky,37.839333,-84.270018
Jackson,Kentucky,37.553146,-83.383513
Lexington AP,Kentucky,37.976228,-84.511951
Louisville AP,Kentucky,14.279911,120.900217
Madisonville,Kentucky,37.328101,-87.498888
Owensboro,Kentucky,37.771907,-87.111168
Paducah AP,Kentucky,37.839333,-84.270018
Alexandria AP,Louisiana,31.311294,-92.445137
Baton Rouge AP,Louisiana,30.458283,-91.14032
Bogalusa,Louisiana,30.79102,-89.848686
"Bossier City, Barksdale AFB",Louisiana,32.50186,-93.657142
Houma,Louisiana,29.59577,-90.719535
Lafayette AP,Louisiana,30.22409,-92.019843
Lake Charles AP,Louisiana,30.226595,-93.217376
"Leesville, Fort Polk",Louisiana,31.154286,-93.15321
Minden,Louisiana,32.615428,-93.286835
Monroe AP,Louisiana,30.984298,-91.962333
Natchitoches,Louisiana,31.76072,-93.086275
New Orleans AP,Louisiana,29.951066,-90.071532
"New Orleans, Lakefront AP",Louisiana,29.982151,-90.067551
Shreveport,Louisiana,32.525152,-93.750179
Augusta AP,Maine,45.253783,-69.445469
"Bangor, Dow AFB",Maine,45.253783,-69.445469
"Brunswick, NAS",Maine,43.898449,-69.934296
Caribou AP,Maine,45.253783,-69.445469
Lewiston,Maine,44.100351,-70.214776
"Limestone, Loring AFB",Maine,46.94559,-67.892087
M illinocket AP,Maine,45.253783,-69.445469
Portland,Maine,43.661471,-70.255326
Waterville,Maine,44.552011,-69.631712
Baltimore AP,Maryland,39.290385,-76.612189
Baltimore CO,Maryland,39.464767,-76.733652
Cumberland,Maryland,39.652865,-78.762518
Fredrick AP,Maryland,39.045755,-76.641271
Hagerstown,Maryland,39.641763,-77.719993
"Lex Park, Patuxent River NAS",Maryland,38.285981,-76.411781
Salisbury,Maryland,38.360674,-75.599369
Boston AP,Massachusetts,42.360083,-71.05888
Clinton,Massachusetts,42.416763,-71.682908
"East Falmouth, Otis Angb",Massachusetts,41.658653,-70.521422
Fall River,Massachusetts,41.701491,-71.155045
Framingham,Massachusetts,42.279286,-71.416156
Gloucester,Massachusetts,42.615929,-70.661989
Greenfield,Massachusetts,42.587915,-72.59941
Lawrence,Massachusetts,42.707035,-71.163114
Lowell,Massachusetts,42.633425,-71.316172
New Bedford,Massachusetts,41.636215,-70.934205
Pitsfield AP,Massachusetts,42.407211,-71.382437
"Springfield, Westover AFB",Massachusetts,42.175918,-72.499288
Tauton,Massachusetts,41.900101,-71.089767
"Weymouth, S. Weymouth NAS",Massachusetts,42.407211,-71.382437
Worcester AP,Massachusetts,42.262593,-71.802293
Adrian,Michigan,41.897547,-84.037166
Alpena AP,Michigan,44.314844,-85.602364
Battle Creek AP,Michigan,42.321152,-85.179714
Benton Harbor AP,Michigan,44.314844,-85.602364
Detroit,Michigan,42.331427,-83.045754
Escanaba,Michigan,45.745247,-87.06458
Flint AP,Michigan,43.012527,-83.687456
Grand Rapids AP,Michigan,42.96336,-85.668086
Hancock,Michigan,47.126871,-88.580956
Harbour Beach,Michigan,43.844737,-82.651319
Holland,Michigan,42.787524,-86.10893
Jackson AP,Michigan,44.314844,-85.602364
Kalamazoo,Michigan,42.291707,-85.587229
Lansing AP,Michigan,42.732535,-84.555535
Marquette CO,Michigan,46.644579,-87.559382
"Marquette, Sawyer AFB",Michigan,46.333407,-87.365986
Mount Clemens ANGB,Michigan,42.621336,-82.845484
Mt. Pleasant,Michigan,43.597807,-84.767514
Muskegon AP,Michigan,44.314844,-85.602364
"Oscoda, Wurtsmith AFB",Michigan,44.452499,-83.38028
Pellston,Michigan,45.552789,-84.783936
Pontiac,Michigan,42.638922,-83.291047
Port Huron,Michigan,42.970863,-82.424914
Saginaw AP,Michigan,44.314844,-85.602364
Sault Ste. Marie AP,Michigan,46.4953,-84.345317
Seul Choix Point,Michigan,45.92165,-85.910945
Traverse City AP,Michigan,44.763057,-85.620632
Yipsilanti,Michigan,42.24115,-83.612994
Albert Lea,Minnesota,43.647801,-93.368655
Alexandria AP,Minnesota,45.884816,-95.377666
Bemidji AP,Minnesota,46.729553,-94.6859
Brainerd,Minnesota,46.352673,-94.202008
Duluth AP,Minnesota,46.729553,-94.6859
Fairbault,Minnesota,44.294964,-93.268827
Fergus Falls,Minnesota,46.283521,-96.077789
Hibbing,Minnesota,47.427155,-92.937689
International Falls AP,Minnesota,48.602315,-93.404068
Mankato,Minnesota,44.163578,-93.9994
Minneapolis/St. Paul AP,Minnesota,44.951545,-93.322599
Redwood Falls,Minnesota,44.539404,-95.116942
Rochester AP,Minnesota,46.729553,-94.6859
St. Cloud AP,Minnesota,45.557945,-94.16324
Tofte,Minnesota,47.57379,-90.836259
Virginia,Minnesota,47.52326,-92.536571
Willmar,Minnesota,45.122371,-95.048659
Winona,Minnesota,44.055391,-91.666352
"Biloxi, Keesler AFB",Mississippi,32.354668,-89.398528
Clarksdale,Mississippi,34.200109,-90.570932
Columbus AFB,Mississippi,33.641473,-88.450079
Greenville AFB,Mississippi,32.354668,-89.398528
Greenwood,Mississippi,33.516232,-90.179528
Hattiesburg,Mississippi,31.327119,-89.290339
Jackson AP,Mississippi,30.339172,-88.484035
Laurel,Mississippi,31.694051,-89.130612
McComb AP,Mississippi,32.354668,-89.398528
Meridian AP,Mississippi,13.038765,77.643263
Natchez,Mississippi,31.560444,-91.403171
